id;blocked;ip_1;ip_2;port;network_switch_id;switch_interface
1;false;137.226.153.10;137.226.153.11;1;1;TODO
2;false;137.226.153.12;137.226.153.13;2;1;TODO
3;false;137.226.153.14;137.226.153.15;3;1;TODO
4;false;137.226.153.16;137.226.153.17;4;1;TODO
5;false;137.226.153.18;137.226.153.19;5;1;TODO
6;false;137.226.153.20;137.226.153.21;6;1;TODO
7;false;137.226.153.22;137.226.153.23;7;1;TODO
8;false;137.226.153.24;137.226.153.25;8;1;TODO
9;false;137.226.153.26;137.226.153.27;9;1;TODO
10;false;137.226.153.28;137.226.153.29;10;1;TODO
11;false;137.226.153.30;137.226.153.31;11;1;TODO
12;false;137.226.153.32;137.226.153.33;12;1;TODO
13;false;137.226.153.34;137.226.153.35;13;1;TODO
14;false;137.226.153.36;137.226.153.37;14;1;TODO
15;false;137.226.153.38;137.226.153.39;15;1;TODO
16;false;137.226.153.40;137.226.153.41;16;1;TODO
17;false;137.226.153.42;137.226.153.43;17;1;TODO
18;false;137.226.153.44;137.226.153.45;18;1;TODO
19;false;137.226.153.46;137.226.153.47;19;1;TODO
20;false;137.226.153.48;137.226.153.49;22;1;TODO
21;false;137.226.153.50;137.226.153.51;21;1;TODO
22;false;137.226.153.52;137.226.153.53;1;2;TODO
23;false;137.226.153.54;137.226.153.55;2;2;TODO
24;false;137.226.153.56;137.226.153.57;3;2;TODO
25;false;137.226.153.58;137.226.153.59;4;2;TODO
26;false;137.226.153.60;137.226.153.61;5;2;TODO
27;false;137.226.153.62;137.226.153.63;6;2;TODO
28;false;137.226.153.64;137.226.153.65;7;2;TODO
29;false;137.226.153.66;137.226.153.67;8;2;TODO
30;false;137.226.153.68;137.226.153.69;9;2;TODO
31;false;137.226.153.70;137.226.153.71;10;2;TODO
32;false;137.226.153.72;137.226.153.73;11;2;TODO
33;false;137.226.153.74;137.226.153.75;12;2;TODO
34;false;137.226.153.76;137.226.153.77;13;2;TODO
35;false;137.226.153.78;137.226.153.79;14;2;TODO
36;false;137.226.153.80;137.226.153.81;15;2;TODO
37;false;137.226.153.82;137.226.153.83;16;2;TODO
38;false;137.226.153.84;137.226.153.85;17;2;TODO
39;false;137.226.153.86;137.226.153.87;18;2;TODO
40;false;137.226.153.88;137.226.153.89;19;2;TODO
41;false;137.226.153.90;137.226.153.91;20;2;TODO
42;false;137.226.153.92;137.226.153.93;1;3;TODO
43;false;137.226.153.94;137.226.153.95;2;3;TODO
44;false;137.226.153.96;137.226.153.97;3;3;TODO
45;false;137.226.153.98;137.226.153.99;4;3;TODO
46;false;137.226.153.100;137.226.153.101;5;3;TODO
47;false;137.226.153.102;137.226.153.103;6;3;TODO
48;false;137.226.153.104;137.226.153.105;7;3;TODO
49;false;137.226.153.106;137.226.153.107;8;3;TODO
50;false;137.226.153.108;137.226.153.109;9;3;TODO
51;false;137.226.153.110;137.226.153.111;10;3;TODO
52;false;137.226.153.112;137.226.153.113;11;3;TODO
53;false;137.226.153.114;137.226.153.115;12;3;TODO
54;false;137.226.153.116;137.226.153.117;13;3;TODO
55;false;137.226.153.118;137.226.153.119;14;3;TODO
56;false;137.226.153.120;137.226.153.121;15;3;TODO
57;false;137.226.153.122;137.226.153.123;16;3;TODO
58;false;137.226.153.124;137.226.153.125;17;3;TODO
59;false;137.226.153.126;137.226.153.127;18;3;TODO
