id;start;end;effective_time;pause;description;timesheet_id;project_id;task_id
1;2019-10-01T12:30:00;2019-10-01T15:45:00;11100;600;Programming Website;1;1;1
2;2019-10-02T10:00:00;2019-10-02T11:00:00;3600;0;Server Setup;2;1;1
3;2019-10-02T11:05:00;2019-10-02T11:20:00;900;0;Verification of new member;1;1;1
4;2019-10-02T11:50:00;2019-10-02T14:20:00;8820;180;Programming;1;1;1
5;2019-11-03T20:00:00;2019-11-03T20:30:00;2760;0;Renting drill;3;4;4
6;2020-01-01T12:00:00;2020-01-01T15:00:00;10800;0;Implement transactions;1;1;1
7;2020-01-01T16:00:00;2020-01-01T16:30:00;1500;300;Implement transactions;1;1;1
8;2020-01-01T14:00:00;2020-01-01T17:00:00;9900;900;Internet problem 123/1;2;1;1
9;2020-06-01T12:00:00;;90;0;Communication with applicant;5;5;3
10;2020-08-01T15:00:00;2020-08-01T16:00:00;3600;0;Clean washing machines;3;2;1
11;2020-08-01T13:00:00;2020-08-02T02:00:00;39600;7200;Dependency upgrade;1;1;1
12;2020-08-05T23:50:00;2020-08-06T00:10:00;1200;0;Pay invoices;1;6;1
13;2020-02-01T10:05:00;2020-02-01T15:15:00;18600;0;Clean basement;4;7;1
14;2020-02-01T10:10:00;2020-02-01T16:20:00;17400;1200;Clean basement;6;7;1
15;2020-02-01T13:00:00;2020-02-01T15:15:00;7920;180;Clean basement;7;7;1
16;2020-02-01T11:00:00;2020-02-01T11:30:00;1800;0;Help setup internet;1;1;1
