id;year;term;start;end;description;discount;stw_activity
1;77366;WINTER_TERM;2020-01-12;2020-01-12;scale enterprise solid state;false;false
2;74947;SUMMER_TERM;2020-01-12;2020-01-11;Tasty Cotton Soap;true;true
3;55746;WINTER_TERM;2020-01-12;2020-01-12;Malawi;false;true
4;72582;SUMMER_TERM;2020-01-12;2020-01-12;orchestration;false;true
5;2604;WINTER_TERM;2020-01-12;2020-01-12;Sleek Extended;false;false
6;9526;SUMMER_TERM;2020-01-12;2020-01-11;Handcrafted Rubber Towels Sleek Cotton Chicken;false;false
7;35247;SUMMER_TERM;2020-01-11;2020-01-12;navigate;true;false
8;31220;WINTER_TERM;2020-01-11;2020-01-12;Small;true;false
9;73502;SUMMER_TERM;2020-01-12;2020-01-12;content-based override;false;true
10;98959;SUMMER_TERM;2020-01-12;2020-01-12;Home Loan Account silver Security;true;false
