id;type;start;end;users_only;dismissible
1;DANGER;2021-10-24T17:39:19;2021-10-24T21:41:44;false;true
2;LIGHT;2021-10-24T10:03:47;2021-10-24T04:45:33;false;true
3;WARNING;2021-10-24T12:32:45;2021-10-24T19:01:30;true;false
4;SUCCESS;2021-10-24T06:48:50;2021-10-24T09:29:42;false;false
5;LIGHT;2021-10-24T05:52:10;2021-10-24T07:49:07;true;false
6;SUCCESS;2021-10-24T19:58:18;2021-10-24T08:59:19;false;true
7;INFO;2021-10-24T22:38:06;2021-10-24T11:52:42;true;true
8;SECONDARY;2021-10-24T12:29:52;2021-10-24T02:11:06;false;false
9;DARK;2021-10-24T07:32:48;2021-10-24T14:54:07;true;false
10;SUCCESS;2021-10-24T16:55:08;2021-10-24T02:08:32;false;false
