id;token;date_purchase;date_redeem
1;turn-key Generic Refined Metal Mouse;2020-03-26T13:16:44;2020-03-26T11:18:08
2;Fresh Oregon Czech Koruna;2020-03-26T00:05:19;2020-03-26T04:20:01
3;Orchestrator Hawaii THX;2020-03-26T09:40:47;2020-03-25T23:46:30
4;Refined exploit;2020-03-25T23:51:22;2020-03-26T00:28:08
5;transmitter Manat;2020-03-26T09:25:10;2020-03-26T17:14:02
6;array coherent;2020-03-25T20:49:11;2020-03-26T15:26:54
7;District;2020-03-26T08:02:19;2020-03-26T15:16:26
8;intangible;2020-03-26T17:19:10;2020-03-25T23:36:44
9;solution-oriented;2020-03-26T17:31:02;2020-03-26T12:44:05
10;Uruguay calculating;2020-03-25T20:57:37;2020-03-26T09:13:16
