id;blocked;ip_1;ip_2;switch_interface;port
1;true;Belize;Account Account;architecture Stravenue;40511
2;false;user-centric;deposit Martinique withdrawal;Minnesota Nebraska;32293
3;true;Pound Avon transitional;feed Assistant actuating;embrace Roads;7757
4;true;ROI Mexico Nevada;Fresh District;Rubber hour Configuration;15623
5;true;Granite;Regional Dollar;Palau Rial;36694
6;false;reinvent Cuban Wooden;firewall;Front-line invoice SCSI;92386
7;true;Metal Senegal Licensed;Account Savings stable;Malaysian reinvent Row;31539
8;false;Steel virtual;Granite SCSI Island;Avon Home;11282
9;true;upward-trending Licensed Credit;plum Fresh;Mall Business-focused National;66347
10;true;Hat transmitter;Throughway Chips Division;Account Account;24884
