id;identifier;name;type;enabled
1;Iowa compressing;deposit withdrawal;DRYER;false
2;Leone Central Mississippi;Small Agent;DRYER;true
3;Branding;Customer Manat Trinidad and Tobago Dollar;DRYER;false
4;Summit;cross-platform;DRYER;false
5;copy;deliverables Polarised Facilitator;WASHING_MACHINE;true
6;executive Future;reintermediate;DRYER;false
7;Metal orchid;Rest North Carolina Security;WASHING_MACHINE;true
8;impactful grey;Music;WASHING_MACHINE;true
9;invoice;Factors;DRYER;true
10;channels SMS;Re-engineered;WASHING_MACHINE;true
