id;name;subprogram;time;spin;pre_wash;protect
1;Mandatory Buckinghamshire;Orchestrator 1080p;75171;74382;false;false
2;gold;Account;37919;93855;true;false
3;Fantastic;Chair Pa'anga;52556;75834;false;false
4;CSS Future;National;83928;83649;true;true
5;Global Supervisor;Gorgeous;25187;992;true;false
6;drive Web;olive Cambridgeshire Agent;87454;52470;false;false
7;Loan Gorgeous;FTP Solutions;27591;81672;false;true
8;Tasty neural Rhode;Quality;358;84342;false;false
9;Branding York;24 Michigan harness;72164;86188;false;true
10;copy enhance;revolutionary Markets;51038;76404;false;true
