id;interface_name;ssh_host;ssh_port;ssh_key
1;bluetooth;GB Intelligent digital;54291;../fake-data/blob/hipster.txt
2;drive;rich;684;../fake-data/blob/hipster.txt
3;Principal program deposit;synthesize program Human;294;../fake-data/blob/hipster.txt
4;Optimization SMTP;reciprocal compressing Optional;37028;../fake-data/blob/hipster.txt
5;intelligence parse Fantastic;Garden microchip;38053;../fake-data/blob/hipster.txt
6;Assistant;one-to-one hacking Assistant;35774;../fake-data/blob/hipster.txt
7;Cedi redundant Handcrafted;Supervisor;7367;../fake-data/blob/hipster.txt
8;Orchestrator;Designer testing wireless;21176;../fake-data/blob/hipster.txt
9;Kids;bypassing;28959;../fake-data/blob/hipster.txt
10;Loan Fresh Future-proofed;Sausages Concrete;13119;../fake-data/blob/hipster.txt
