id;balance_before;balance_after;payment;date;description
1;81613;56672;44016;2020-01-12T05:43:05;array Car
2;81484;9544;48470;2020-01-12T12:22:32;Sleek content
3;24035;20045;7842;2020-01-12T07:53:53;Wooden
4;25020;6742;61815;2020-01-11T22:48:55;Engineer Shirt
5;19742;20221;74556;2020-01-11T18:44:20;Analyst
6;41024;9979;23659;2020-01-12T14:03:32;Buckinghamshire
7;87911;1539;65026;2020-01-11T20:54:05;Malagasy Ariary
8;71441;43019;25414;2020-01-12T18:21:31;aggregate
9;25193;58548;63401;2020-01-12T13:59:42;Anguilla Mississippi
10;70039;78694;1856;2020-01-12T07:15:55;Games Bacon
