id;using_date;reservation_date;last_modified_date;status
1;2020-03-26T13:06:27;2020-03-25T21:41:39;2020-03-26T10:35:03;OPEN
2;2020-03-25T23:42:28;2020-03-26T03:29:42;2020-03-26T07:33:51;CANCELLED_BY_SYSTEM
3;2020-03-26T17:56:14;2020-03-26T11:07:05;2020-03-26T17:24:08;COMPLETED
4;2020-03-26T04:09:15;2020-03-26T15:43:29;2020-03-26T10:42:33;OPEN
5;2020-03-25T20:36:29;2020-03-26T10:09:38;2020-03-26T01:44:26;CANCELLED_BY_SYSTEM
6;2020-03-26T09:39:31;2020-03-26T01:12:39;2020-03-26T18:32:28;CANCELLED_BY_SYSTEM
7;2020-03-26T04:41:53;2020-03-25T22:33:19;2020-03-26T15:21:04;CANCELLED_BY_SYSTEM
8;2020-03-25T21:14:40;2020-03-26T00:57:33;2020-03-26T15:19:38;EXPIRED
9;2020-03-26T17:47:16;2020-03-25T21:13:12;2020-03-26T13:20:44;CANCELLED_BY_USER
10;2020-03-25T23:00:20;2020-03-26T04:27:25;2020-03-26T10:35:22;EXPIRED
