id;identifier;name;type;enabled;position_x;position_y
1;Bremen homogeneous;withdrawal;DRYER;false;17977;29659
2;Credit Dynamic;Borders optimize Agent;WASHING_MACHINE;false;97088;67040
3;Branding;Rheinland-Pfalz and services;DRYER;true;17753;25079
4;SSL mesh;Bremen Greens parallelism;DRYER;false;61724;99521
5;protocol heuristic 1080p;payment ubiquitous;WASHING_MACHINE;false;66442;60363
6;Clothing cross-platform;Verde;DRYER;false;69298;55808
7;Security copying;Account grey;WASHING_MACHINE;false;62387;55969
8;Plastic SSL SDD;Kiribati Internal Nordrhein-Westfalen;WASHING_MACHINE;true;71846;16739
9;interface;pink Legacy Frozen;WASHING_MACHINE;true;77867;56814
10;intuitive Steel;Berlin Station;DRYER;false;87647;43848
