id;name;subprogram;spin;pre_wash;protect
1;Small Dynamic distributed;SCSI calculating alarm;24817;true;true
2;invoice;out-of-the-box Architect Ergonomic;7890;false;false
3;moderator Response;Franc;64023;false;true
4;Account Mews Product;THX;55188;true;true
5;Irak;payment;17210;true;true
6;deposit Ball Heard;Tuna;34891;false;false
7;turquoise facilitate;Global;39669;false;true
8;logistical;Hamburg;98313;false;true
9;Credit modular;Clothing deliverables;45595;true;true
10;Human;front-end Account;96921;true;true
